ObjectId,Country,Unit,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
556,Mexico,Number of,2.0,1.0,3.0,3.0,2.0,,1.0,2.0,5.0,2.0,3.0,3.0,3.0,7.0,,7.0,6.0,6.0,9.0,7.0,6.0,6.0,7.0,8.0,3.0,7.0,7.0,7.0,3.0,7.0,8.0,11.0,2.0,5.0,6.0,4.0,7.0,5.0,3.0,6.0,7.0,10.0,5.0
557,Mexico,Number of,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
558,"Micronesia, Federated States of",Number of,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
559,"Micronesia, Federated States of",Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
560,"Micronesia, Federated States of",Number of,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,
561,"Micronesia, Federated States of",Number of,,,,,,,,1.0,,,,,,,,,,,1.0,,,,2.0,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,
562,"Moldova, Rep. of",Number of,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,
563,"Moldova, Rep. of",Number of,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,
564,"Moldova, Rep. of",Number of,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,
565,"Moldova, Rep. of",Number of,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
566,"Moldova, Rep. of",Number of,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,2.0,,1.0,,,2.0,,1.0,1.0,,1.0,,2.0,,,,,,,1.0,,,
567,Mongolia,Number of,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
568,Mongolia,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,1.0
569,Mongolia,Number of,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,3.0,1.0,1.0
570,Mongolia,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
571,Mongolia,Number of,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,2.0,1.0,2.0,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,
572,Mongolia,Number of,,,1.0,,,,1.0,,,,2.0,1.0,,1.0,1.0,,2.0,,,,3.0,1.0,2.0,1.0,,,,,1.0,2.0,,,,,,1.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0
573,Mongolia,Number of,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Montenegro,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
575,Montenegro,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,
576,Montenegro,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,1.0,,,,,1.0,,,,,
577,Montenegro,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
578,Montserrat,Number of,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Montserrat,Number of,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Morocco,Number of,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
581,Morocco,Number of,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,2.0,1.0,,,,
582,Morocco,Number of,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,3.0,,2.0,2.0,2.0,,,,1.0,,,,,2.0,,2.0,
583,Morocco,Number of,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
584,Morocco,Number of,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,
585,Morocco,Number of,,,1.0,1.0,1.0,,,,,,,,,,,3.0,2.0,1.0,,1.0,3.0,1.0,1.0,1.0,,1.0,3.0,,2.0,2.0,2.0,,1.0,,3.0,,1.0,2.0,1.0,3.0,,2.0,
586,"Mozambique, Rep. of",Number of,,1.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,,2.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,
587,"Mozambique, Rep. of",Number of,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,1.0,2.0,1.0,3.0,,2.0,,4.0,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,2.0,,1.0,3.0,2.0,1.0,1.0
588,"Mozambique, Rep. of",Number of,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
589,"Mozambique, Rep. of",Number of,,,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,,4.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,3.0,,,,1.0,1.0,,2.0,,1.0,3.0
590,"Mozambique, Rep. of",Number of,,2.0,,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,2.0,2.0,1.0,5.0,4.0,2.0,5.0,,3.0,,6.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,5.0,3.0,3.0,4.0
591,"Mozambique, Rep. of",Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
592,Myanmar,Number of,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,4.0,,,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,
593,Myanmar,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,2.0,1.0,,1.0,1.0,1.0,,
594,Myanmar,Number of,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,2.0,1.0,,,,,
595,Myanmar,Number of,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,5.0,2.0,4.0,3.0,2.0,1.0,
596,Myanmar,Number of,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Namibia,Number of,,1.0,,,,,,,,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,
598,Namibia,Number of,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,
599,Namibia,Number of,,1.0,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,
600,Nepal,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
601,Nepal,Number of,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,2.0,1.0,,,,,,1.0,,,,
602,Nepal,Number of,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,2.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,,2.0,2.0,1.0,1.0,1.0,4.0,2.0
603,Nepal,Number of,,,,1.0,,,,,1.0,1.0,,,,1.0,,2.0,,1.0,,,,1.0,1.0,,,1.0,2.0,,,1.0,,2.0,1.0,,2.0,2.0,,1.0,,,,,1.0
604,Nepal,Number of,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0
605,Nepal,Number of,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,5.0,2.0,6.0,3.0,2.0,6.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0
606,Nepal,Number of,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
607,Netherlands Antilles,Number of,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Netherlands Antilles,Number of,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,"Netherlands, The",Number of,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,,
610,"Netherlands, The",Number of,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
611,"Netherlands, The",Number of,,,,,1.0,1.0,1.0,,,,6.0,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,3.0,,,1.0,,1.0,,,1.0,1.0
612,"Netherlands, The",Number of,,,,,1.0,1.0,1.0,,,,6.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,,,1.0,1.0,,3.0,1.0,1.0,1.0,,1.0,,1.0,3.0,,,1.0,,2.0,1.0,1.0,2.0,1.0
613,New Caledonia,Number of,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,
614,New Caledonia,Number of,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,
615,New Zealand,Number of,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
616,New Zealand,Number of,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
617,New Zealand,Number of,2.0,1.0,,1.0,1.0,2.0,3.0,1.0,3.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,2.0,1.0,1.0,1.0,,2.0,3.0,
618,New Zealand,Number of,,,,,,,,,1.0,,,,2.0,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0
619,New Zealand,Number of,2.0,1.0,,1.0,1.0,2.0,3.0,2.0,4.0,1.0,,1.0,3.0,,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,1.0,2.0,,2.0,1.0,2.0,1.0,,3.0,4.0,1.0
620,New Zealand,Number of,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
621,Nicaragua,Number of,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,
622,Nicaragua,Number of,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,
623,Nicaragua,Number of,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
624,Nicaragua,Number of,,,1.0,,,,,,1.0,,,,,1.0,,1.0,2.0,,1.0,,2.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,2.0,,2.0
625,Nicaragua,Number of,1.0,,1.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,,2.0,2.0,,2.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,2.0,,2.0
626,Nicaragua,Number of,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
627,Niger,Number of,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,1.0,,1.0,,,1.0,,1.0
628,Niger,Number of,,,,,,,,,1.0,,,,,,1.0,,,,1.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0
629,Niger,Number of,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
630,Niger,Number of,1.0,,,,,,,,2.0,,1.0,,,,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0
631,Nigeria,Number of,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
632,Nigeria,Number of,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
633,Nigeria,Number of,,,,,,1.0,,,1.0,,,,,,1.0,,,,2.0,3.0,6.0,3.0,1.0,1.0,5.0,2.0,3.0,3.0,,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0
634,Nigeria,Number of,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
635,Nigeria,Number of,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,1.0
636,Nigeria,Number of,,1.0,,,,1.0,,,2.0,,,,1.0,,1.0,,,,2.0,4.0,9.0,3.0,2.0,1.0,5.0,2.0,3.0,3.0,,2.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
637,"North Macedonia, Republic of ",Number of,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,"North Macedonia, Republic of ",Number of,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,
639,"North Macedonia, Republic of ",Number of,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,1.0,,2.0,1.0,,,,,,
640,"North Macedonia, Republic of ",Number of,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
641,"North Macedonia, Republic of ",Number of,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,
642,"North Macedonia, Republic of ",Number of,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,
643,Northern Mariana Islands,Number of,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,
644,Northern Mariana Islands,Number of,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,
645,Norway,Number of,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
646,Norway,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
647,Norway,Number of,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0
648,Norway,Number of,,,,,,,,,,,2.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0
649,Oman,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,
650,Oman,Number of,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,2.0,,,2.0,
651,Oman,Number of,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,
652,Pakistan,Number of,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,
653,Pakistan,Number of,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,,1.0
654,Pakistan,Number of,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,,1.0,3.0,3.0,2.0,5.0,7.0,6.0,3.0,3.0,4.0,1.0,3.0,2.0,1.0,6.0,7.0,2.0,1.0,8.0,4.0,4.0,1.0
655,Pakistan,Number of,,,,2.0,,,,,,,,1.0,1.0,2.0,,,1.0,,1.0,,,2.0,,1.0,,1.0,1.0,3.0,,,2.0,,2.0,,,,,1.0,,,1.0,,
656,Pakistan,Number of,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,2.0,,,2.0,1.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,,1.0,2.0,,1.0,1.0,2.0,1.0
657,Pakistan,Number of,2.0,2.0,1.0,3.0,1.0,,1.0,,2.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,6.0,1.0,5.0,6.0,6.0,2.0,8.0,9.0,10.0,3.0,3.0,7.0,1.0,5.0,2.0,3.0,7.0,8.0,5.0,2.0,10.0,6.0,6.0,4.0
658,Pakistan,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
659,"Palau, Rep. of",Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
660,"Palau, Rep. of",Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,
661,"Palau, Rep. of",Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,
662,Panama,Number of,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,
663,Panama,Number of,,,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,,1.0,1.0,,,,,1.0,2.0,1.0
664,Panama,Number of,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,
665,Panama,Number of,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,3.0,2.0,1.0
666,Panama,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
667,Papua New Guinea,Number of,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
668,Papua New Guinea,Number of,,,,2.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,2.0,,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,3.0,,
669,Papua New Guinea,Number of,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,2.0,,,2.0,,,1.0,,,1.0,,,,,,,1.0,2.0,,
670,Papua New Guinea,Number of,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,
671,Papua New Guinea,Number of,1.0,,,2.0,,,,,,,,1.0,1.0,2.0,,,1.0,3.0,,1.0,,,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,,1.0,2.0,1.0,2.0,3.0,1.0,,,2.0,5.0,,
672,Papua New Guinea,Number of,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
673,Paraguay,Number of,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,
674,Paraguay,Number of,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,
675,Paraguay,Number of,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,2.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,1.0,1.0,2.0,2.0,,,2.0,3.0,,2.0,
676,Paraguay,Number of,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,
677,Paraguay,Number of,,,1.0,2.0,,,,,1.0,,1.0,,1.0,,,2.0,,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,1.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,,2.0,4.0,,2.0,
678,Paraguay,Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
679,Peru,Number of,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
680,Peru,Number of,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
681,Peru,Number of,1.0,1.0,2.0,,,,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,2.0,,,,,2.0,1.0,3.0,3.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,,3.0,3.0,8.0,1.0
682,Peru,Number of,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,1.0,,,,,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,,,4.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0
683,Peru,Number of,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
684,Peru,Number of,1.0,2.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,,3.0,2.0,3.0,2.0,4.0,5.0,3.0,4.0,,2.0,2.0,1.0,6.0,3.0,5.0,3.0,3.0,4.0,3.0,1.0,3.0,,5.0,4.0,8.0,2.0
685,Peru,Number of,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,
686,Philippines,Number of,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,
687,Philippines,Number of,1.0,3.0,4.0,1.0,,2.0,1.0,,,2.0,3.0,3.0,3.0,3.0,4.0,6.0,1.0,1.0,,4.0,3.0,3.0,4.0,1.0,3.0,2.0,6.0,5.0,8.0,8.0,9.0,15.0,8.0,5.0,3.0,5.0,2.0,3.0,1.0,1.0,,5.0,2.0
688,Philippines,Number of,,1.0,,,,,,,2.0,3.0,,,,1.0,2.0,,2.0,,,4.0,1.0,,,1.0,1.0,,3.0,,1.0,1.0,1.0,3.0,1.0,,,,,,,,1.0,,1.0
689,Philippines,Number of,6.0,8.0,9.0,4.0,4.0,3.0,6.0,5.0,6.0,7.0,5.0,6.0,4.0,6.0,11.0,7.0,2.0,3.0,4.0,8.0,6.0,6.0,6.0,8.0,8.0,2.0,10.0,8.0,11.0,14.0,3.0,12.0,9.0,8.0,9.0,10.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0
690,Philippines,Number of,8.0,12.0,13.0,6.0,4.0,5.0,7.0,6.0,8.0,12.0,9.0,9.0,7.0,10.0,17.0,13.0,5.0,4.0,6.0,16.0,10.0,9.0,11.0,10.0,12.0,4.0,19.0,14.0,20.0,23.0,13.0,30.0,18.0,13.0,12.0,16.0,10.0,11.0,8.0,9.0,7.0,13.0,9.0
691,Philippines,Number of,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
692,"Poland, Rep. of",Number of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
